産業,,_特許権_企業数,_特許権_件数_所有数,_特許権_件数_使用のもの（他社に供与しているものを含む）_件,_特許権_件数__うち自社開発のもの,_実用新案件_企業数,_件数_所有数,__使用のもの（他社に供与しているものを含む）_件,___うち自社開発のもの,_意匠権_企業数,_意匠権_件数_所有数,_意匠権__使用のもの（他社に供与しているものを含む）_件,_意匠権__うち自社開発のもの
平成13年度,,5749,908294,350005,274013,4191,133573,64616,60665,3598,220241,90194,84443
平成14年度,,5711,908487,337350,272953,3994,104441,53826,50619,3506,214559,94471,88052
,,,,,,,,,,,,,
合計,,5529,902611,334022,269967,3864,103365,53156,50002,3408,213382,93565,87361
,,,,,,,,,,,,,
鉱業,,7,254,137,132,1,,,,2,,,
,,,,,,,,,,,,,
製造業,,4528,788057,293310,245801,3200,91495,46358,43633,2609,185018,75139,69603
,,,,,,,,,,,,,
090食料品製造業,,265,7683,3172,2863,104,590,348,296,154,1795,1266,1052
091畜産食料品製造業,,30,1294,271,229,13,,,,24,374,277,101
092水産食料品製造業,,31,248,117,108,19,59,47,45,24,78,43,39
093精穀・製粉業,,11,391,156,64,2,,,,4,116,115,115
099その他の食料品製造業,,193,5750,2628,2462,70,420,255,213,102,1227,831,797
,,,,,,,,,,,,,
100飲料・たばこ・飼料製造業,,72,3457,1836,1744,29,312,205,194,39,1070,811,739
101清涼飲料・酒類・茶・たばこ製造業,,55,3317,1757,1685,25,306,202,192,34,1044,791,721
102飼料・有機質肥料製造業,,17,140,79,59,4,6,3,2,5,26,20,18
,,,,,,,,,,,,,
110繊維工業,,67,1901,999,930,45,421,234,218,32,619,411,410
111製糸・紡績業,,2,,,,2,,,,1,,,
112織物・ニット生地製造業,,16,,,,11,150,81,74,8,70,52,51
113染色整理業,,16,119,70,63,5,,,,4,,,
119その他の繊維工業,,33,949,538,496,27,242,132,125,19,524,336,336
,,,,,,,,,,,,,
120衣服・その他の繊維製品製造業,,28,412,285,275,24,168,116,111,31,250,161,153
121織物・ニット製衣服製造業,,12,351,241,233,9,110,76,75,18,167,111,103
122身の回り品・その他の繊維製品製造業,,16,61,44,42,15,58,40,36,13,83,50,50
,,,,,,,,,,,,,
130木材・木製品製造業（家具を除く）,,31,838,287,278,22,265,104,100,15,464,176,173
131製材・合板製造業,,28,741,280,273,21,,,,15,464,176,173
139その他の木製品製造業,,3,97,7,5,1,,,,,,,
,,,,,,,,,,,,,
140家具・装備品製造業,,48,1872,1145,995,53,1039,648,615,47,6142,4235,3930
,,,,,,,,,,,,,
150パルプ・紙・紙加工品製造業,,94,5368,2163,2083,91,1104,722,703,58,559,373,341
151パルプ・紙製造業,,33,4471,1845,1793,23,542,399,397,18,142,105,93
152紙加工品製造業,,61,897,318,290,68,562,323,306,40,417,268,248
,,,,,,,,,,,,,
160印刷・同関連業,,65,5757,1660,1626,62,1026,439,429,33,778,371,282
,,,,,,,,,,,,,
170化学工業,,506,102158,40348,34528,197,2646,1486,1353,198,9209,5265,4955
171化学肥料・無機化学工業製品製造業,,55,5288,2170,1941,15,112,50,49,13,143,78,78
172有機化学工業製品製造業,,106,39666,17817,13816,37,567,368,293,27,876,564,496
173化学繊維製造業,,14,8771,3393,2526,10,211,119,87,6,103,43,30
174油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,,79,16497,4808,4688,25,320,187,186,22,1492,1126,1125
175医薬品製造業,,112,11146,2708,2411,45,304,148,144,71,1286,728,697
179その他の化学工業製品製造業,,140,20790,9452,9146,65,1132,614,594,59,5309,2726,2529
,,,,,,,,,,,,,
180石油製品・石炭製品製造業,,26,1868,599,528,10,39,19,18,5,20,16,16
181石油精製業,,14,1482,352,300,5,28,11,11,3,,,
189その他の石油製品・石炭製品製造業,,12,386,247,228,5,11,8,7,2,,,
,,,,,,,,,,,,,
190プラスチック製品製造業,,241,17126,8059,7557,190,3980,2203,2102,158,13947,8705,7694
,,,,,,,,,,,,,
200ゴム製品製造業,,59,10833,4776,4600,40,1175,642,604,39,2245,896,830
201タイヤ・チューブ製造業,,5,7336,3273,3187,2,,,,6,1647,561,561
209その他のゴム製品製造業,,54,3497,1503,1413,38,,,,33,598,335,269
,,,,,,,,,,,,,
210なめし革・同製品・毛皮製造業,,9,76,70,68,8,167,166,163,10,178,141,122
,,,,,,,,,,,,,
220窯業・土石製品製造業,,190,9476,5019,4636,140,1935,1249,1155,106,6725,2932,2869
221ガラス・同製品製造業,,39,3062,1117,1102,30,610,421,419,17,517,315,303
222セメント・同製品製造業,,67,2815,1655,1410,52,580,317,241,49,3998,1633,1583
229その他の窯業・土石製品製造業,,84,3599,2247,2124,58,745,511,495,40,2210,984,983
,,,,,,,,,,,,,
230鉄鋼業,,119,25554,10601,6522,80,1560,858,670,63,2396,1128,1053
231銑鉄・粗鋼・鋼材製造業,,74,24781,10209,6175,46,1146,613,445,37,1674,715,675
232鋳鍛造品・その他の鉄鋼製品製造業,,45,773,392,347,34,414,245,225,26,722,413,378
,,,,,,,,,,,,,
240非鉄金属製造業,,116,18326,6722,6385,69,2046,777,701,55,3666,1492,1434
241非鉄金属製錬・精製業,,26,4628,1118,1100,13,416,68,57,6,209,26,26
242非鉄金属加工品製造業,,90,13698,5604,5285,56,1630,709,644,49,3457,1466,1408
,,,,,,,,,,,,,
250金属製品製造業,,361,12840,7116,6738,286,6391,3576,3448,240,12255,6864,6566
251建設用・建築用金属製品製造業,,116,3880,2124,2026,107,1993,1252,1191,89,6851,3789,3678
259その他の金属製品製造業,,245,8960,4992,4712,179,4398,2324,2257,151,5404,3075,2888
,,,,,,,,,,,,,
260一般機械器具製造業,,829,127951,41440,40208,650,20429,10766,10408,459,16767,7454,7321
261金属加工機械製造業,,105,4779,2793,2676,77,1287,896,849,53,891,520,517
262特殊産業用機械製造業,,249,27856,14015,13369,195,6766,3987,3874,125,2990,1727,1695
263事務用・サービス用機械器具製造業,,76,59255,12153,12035,66,2998,1453,1433,59,5465,1048,1011
269その他の機械・同部分品製造業,,399,36061,12479,12128,312,9378,4430,4252,222,7421,4159,4098
,,,,,,,,,,,,,
270電気機械器具製造業,,347,72292,29016,28169,268,9661,5102,4981,237,17128,8697,8556
