産業,_特許権_企業数,_特許権_件数_所有数,_特許権_件数_使用のもの（含供与）_件,_特許権_件数_使用のもの（含供与）_うち自社開発,_実用新案件_企業数,_件数_所有数,__使用のもの（含供与）_件,___うち自社開発,_意匠権_企業数,_意匠権_件数_所有数,_意匠権__使用のもの（含供与）_件,_意匠権__うち自社開発
平成15年度,5574,961046,330821,272672,3747,78455,40144,38017,3373,209614,87929,82409
平成16年度,5815,1008745,386568,321392,3631,61557,31517,29567,3494,227818,92122,83621
合計,5619,997420,382842,317925,3514,59209,30521,28613,3399,225982,91514,83079
鉱業,5,229,160,157,1,,,,2,,,
製造業,4576,913988,353481,291347,2940,51019,26131,24638,2633,202436,77253,70231
090食料品製造業,242,6927,2992,2689,87,458,261,241,144,1720,1326,1141
091畜産食料品製造業,24,1106,298,232,10,97,17,16,18,311,221,99
092水産食料品製造業,25,351,144,140,9,19,12,12,19,240,225,224
093精穀・製粉業,14,394,183,180,4,67,34,32,5,106,69,40
099その他の食料品製造業,179,5076,2367,2137,64,275,198,181,102,1063,811,778
100飲料・たばこ・飼料製造業,67,1863,890,782,20,97,65,57,33,1139,505,443
101清涼飲料・酒類・茶・たばこ製造業,53,1766,825,733,18,,,,31,,,
102飼料・有機質肥料製造業,14,97,65,49,2,,,,2,,,
110繊維工業,68,2065,1137,1047,35,202,150,142,30,1015,528,518
111製糸・紡績業,3,72,49,49,2,,,,3,12,12,12
112織物・ニット生地製造業,16,1147,610,561,12,81,57,52,11,76,64,63
113染色整理業,18,119,77,75,4,,,,4,26,19,19
119その他の繊維工業,31,727,401,362,17,95,67,66,12,901,433,424
120衣服・その他の繊維製品製造業,34,652,464,424,29,179,130,126,25,338,192,152
121織物・ニット製衣服製造業,15,422,246,210,13,106,84,81,16,288,151,120
122身の回り品・その他の繊維製品製造業,19,230,218,214,16,73,46,45,9,50,41,32
130木材・木製品製造業（家具を除く）,23,748,248,238,16,198,71,69,15,622,146,145
131製材・合板製造業,19,464,208,198,12,155,59,57,12,220,106,105
139その他の木製品製造業,4,284,40,40,4,43,12,12,3,402,40,40
140家具・装備品製造業,41,2978,1380,1320,44,1506,444,421,42,7398,4857,4613
