産業,,,_特許権_企業数,_特許権__所有件数,_特許権__使用のもの（他社供与も含む）_計,_特許権__うち自社開発のもの,_実用新案件_企業数,__所有件数,__使用のもの（他社供与も含む）_計,___うち自社開発のもの,_意匠権_企業数,_意匠権__所有件数,_意匠権__使用のもの（他社供与も含む）_計,_意匠権__うち自社開発のもの
平成16年度,,,5815,1008745,386568,321392,3631,61557,31517,29567,3494,227818,92122,83621
平成17年度,,,5739,991731,382741,320182,3344,45041,23356,21631,3390,225439,95879,88332
合計,,,5540,979660,378855,316729,3232,43499,23026,21335,3283,221592,93719,86529
鉱業,,,3,31,11,10,,,,,,,,
製造業,,,4518,835029,329853,284990,2692,36941,19435,18411,2543,199870,81214,74740
090食料品製造業,,,243,10135,4231,3926,88,479,385,368,148,3118,2651,2414
091畜産食料品製造業,,,30,1168,304,288,13,192,164,163,17,1850,1691,1565
092水産食料品製造業,,,25,310,137,126,11,24,21,19,19,133,122,119
093精穀・製粉業,,,14,390,195,183,3,57,29,29,5,99,61,35
099その他の食料品製造業,,,174,8267,3595,3329,61,206,171,157,107,1036,777,695
100飲料・たばこ・飼料製造業,,,63,2752,1458,1292,14,70,53,33,30,943,427,381
101清涼飲料・酒類・茶・たばこ製造業,,,48,2614,1344,1193,13,,,,26,933,417,374
102飼料・有機質肥料製造業,,,15,138,114,99,1,,,,4,10,10,7
110繊維工業,,,67,2068,1245,1126,37,215,146,136,32,1086,1059,1041
111製糸・紡績業,,,1,,,,2,,,,2,,,
112織物・ニット生地製造業,,,17,,,,11,72,53,48,10,75,67,67
113染色整理業,,,18,139,101,85,3,,,,5,,,
119その他の繊維工業,,,31,1227,634,582,21,128,78,77,15,958,941,932
120衣服・その他の繊維製品製造業,,,30,461,269,232,27,213,127,125,31,798,312,274
121織物・ニット製衣服製造業,,,16,385,230,196,15,104,98,97,20,399,183,149
122身の回り品・その他の繊維製品製造業,,,14,76,39,36,12,109,29,28,11,399,129,125
130木材・木製品製造業（家具を除く）,,,27,716,259,240,18,130,62,59,15,631,146,146
131製材・合板製造業,,,22,586,236,224,14,119,56,53,11,302,122,122
139その他の木製品製造業,,,5,130,23,16,4,11,6,6,4,329,24,24
140家具・装備品製造業,,,40,3339,1681,1564,43,1234,234,216,45,8041,5448,5176
150パルプ・紙・紙加工品製造業,,,96,5011,2172,2119,83,547,300,282,57,706,381,353
151パルプ・紙製造業,,,34,4307,1807,1761,17,124,51,51,16,148,93,81
152紙加工品製造業,,,62,704,365,358,66,423,249,231,41,558,288,272
160印刷・同関連業,,,55,8408,316,302,44,295,137,130,29,905,99,95
170化学工業,,,529,86275,31178,26891,155,1280,848,814,187,8962,3992,3227
171化学肥料・無機化学工業製品製造業,,,61,5250,2238,2067,16,59,43,37,13,422,198,188
172有機化学工業製品製造業,,,110,38895,15186,13251,29,188,128,117,29,760,418,392
173化学繊維製造業,,,8,6767,1664,1654,4,39,16,16,3,62,27,27
174油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,,,68,13721,3400,3302,16,249,89,89,19,1051,819,816
175医薬品製造業,,,123,9279,3398,1953,39,160,120,118,66,2032,1091,1018
179その他の化学工業製品製造業,,,159,12363,5292,4664,51,585,452,437,57,4635,1439,786
180石油製品・石炭製品製造業,,,25,4008,1892,1844,9,46,40,36,4,34,25,21
181石油精製業,,,12,2418,515,509,4,5,5,5,3,,,
189その他の石油製品・石炭製品製造業,,,13,1590,1377,1335,5,41,35,31,1,,,
190プラスチック製品製造業,,,233,15657,7363,6750,147,2086,933,881,147,11647,7495,6293
200ゴム製品製造業,,,61,11630,5761,4822,40,352,159,155,37,2061,1299,1274
201タイヤ・チューブ製造業,,,7,8858,4641,3783,5,58,31,31,6,1629,1053,1053
209その他のゴム製品製造業,,,54,2772,1120,1039,35,294,128,124,31,432,246,221
210なめし革・同製品・毛皮製造業,,,7,52,29,29,4,74,48,40,7,175,106,72
220窯業・土石製品製造業,,,181,9505,5289,4912,116,788,501,433,102,6216,2658,2599
221ガラス・同製品製造業,,,42,3899,1640,1532,24,117,73,72,20,420,318,315
222セメント・同製品製造業,,,61,3116,1982,1791,46,481,297,238,45,4499,1883,1829
229その他の窯業・土石製品製造業,,,78,2490,1667,1589,46,190,131,123,37,1297,457,455
230鉄鋼業,,,117,23934,9545,6125,57,459,288,223,55,1774,892,818
231銑鉄・粗鋼・鋼材製造業,,,62,23083,8986,5589,29,266,141,85,31,1274,561,488
232鋳鍛造品・その他の鉄鋼製品製造業,,,55,851,559,536,28,193,147,138,24,500,331,330
240非鉄金属製造業,,,120,17534,5942,5402,55,795,275,266,52,2988,999,946
241非鉄金属製錬・精製業,,,23,4151,1085,713,10,109,41,40,11,819,302,287
242非鉄金属加工品製造業,,,97,13383,4857,4689,45,686,234,226,41,2169,697,659
250金属製品製造業,,,362,16284,9052,8261,250,1988,1243,1182,249,13628,8361,7449
251建設用・建築用金属製品製造業,,,112,5763,3640,3286,85,797,484,471,85,7890,5251,4718
259その他の金属製品製造業,,,250,10521,5412,4975,165,1191,759,711,164,5738,3110,2731
260一般機械器具製造業,,,809,137033,40528,39114,546,8402,5152,4991,447,15843,8525,8276
261金属加工機械製造業,,,132,6730,3943,3790,82,942,599,589,63,1971,1054,1045
262特殊産業用機械製造業,,,234,29709,15005,14775,164,2752,1873,1824,126,3247,2109,2025
263事務用・サービス用機械器具製造業,,,74,63854,6244,5815,46,973,382,358,55,4351,1497,1377
269その他の機械・同部分品製造業,,,369,36740,15336,14734,254,3735,2298,2220,203,6274,3865,3829
270電気機械器具製造業,,,375,85225,34702,33882,235,4150,2056,1967,233,19254,8888,8707
271産業用電気機械器具製造業,,,162,45314,17197,16886,110,2522,1042,990,98,10674,4642,4588
272民生用電気機械器具製造業,,,61,12942,5092,5057,38,737,398,393,45,5170,2328,2327
273電子応用装置製造業,,,43,16368,6505,6248,25,143,87,87,21,1005,597,550
279その他の電気機械器具製造業,,,109,10601,5908,5691,62,748,529,497,69,2405,1321,1242
280情報通信機械器具製造業,,,140,195053,81382,60734,92,1998,1007,883,95,66642,7476,6468
281通信機械器具・同関連機械器具製造業,,,97,146177,38403,17816,65,1739,809,686,68,63058,4195,3190
282電子計算機・同附属装置製造業,,,43,48876,42979,42918,27,259,198,197,27,3584,3281,3278
290電子部品・デバイス製造業,,,211,50516,31799,26767,113,2087,688,673,105,5591,2787,2642
300輸送用機械器具製造業,,,401,102266,33581,29434,278,5604,2826,2650,205,12961,7993,7106
301自動車・同附属品製造業,,,329,90964,29111,25077,220,4540,2251,2087,158,10108,6153,5276
309その他の輸送用機械器具製造業,,,72,11302,4470,4357,58,1064,575,563,47,2853,1840,1830
310精密機械器具製造業,,,191,27238,10563,9769,129,2073,1041,997,120,5485,3544,3379
311医療用機械器具・医療用品製造業,,,62,4271,2227,2174,37,365,211,208,41,1191,658,654
312光学機械器具・レンズ製造業,,,25,11790,3429,3358,16,679,252,240,14,2060,1301,1291
313時計・同部分品製造業,,,8,1193,637,634,4,109,70,63,4,674,549,549
319その他の精密機械器具製造業,,,96,9984,4270,3603,72,920,508,486,61,1560,1036,885
320その他の製造業,,,135,19929,9616,9453,112,1576,886,871,111,10381,5651,5583
卸売・小売業,,,694,112421,36330,20071,431,5994,3229,2606,590,19721,11262,10725
卸売業,,,620,111499,35644,19429,386,4613,2538,2425,459,16408,9902,9546
501繊維品卸売業,,,3,,,,3,22,22,21,6,39,27,26
502衣服・身の回り品卸売業,,,33,379,274,262,39,273,190,183,55,1001,764,681
511農畜産物・水産物卸売業,,,16,144,100,83,8,30,23,8,12,89,79,77
512食料・飲料卸売業,,,35,681,414,410,16,94,52,52,24,314,228,212
521建築材料卸売業,,,54,2487,1617,1493,43,529,280,270,42,1723,961,941
522化学製品卸売業,,,68,4378,1485,1372,28,235,116,109,31,300,230,220
523鉱物・金属材料卸売業,,,63,8460,1011,910,34,129,79,74,33,576,279,261
524再生資源卸売業,,,1,,,,,,,,,,,
531一般機械器具卸売業,,,68,7011,3137,2981,38,546,259,245,44,1001,563,545
532自動車卸売業,,,11,4337,1825,1818,7,394,131,129,12,1447,707,707
533電気機械器具卸売業,,,78,72770,20075,4966,34,1029,377,369,40,3437,1034,1016
539その他の機械器具卸売業,,,44,4763,2099,2009,28,313,271,259,23,1055,877,847
541家具・建具・じゅう器等卸売業,,,28,1622,1026,953,27,241,173,172,30,1972,1533,1476
542医薬品・化粧品等卸売業,,,26,449,369,123,4,18,12,10,17,139,124,112
549その他の卸売業,,,92,3966,2175,2015,77,760,553,524,90,3315,2496,2425
小売業,,,74,922,686,642,45,1381,691,181,131,3313,1360,1179
560織物・衣服・身の回り品小売業,,,11,471,387,386,10,1058,555,51,25,936,740,630
570飲食料品小売業,,,16,76,46,45,10,16,13,11,38,310,282,256
580自動車・自転車小売業,,,4,,,,2,,,,8,15,13,13
591家具・建具・じゅう器小売業,,,2,,,,2,,,,5,11,11,6
592機械器具小売業,,,10,52,10,,2,,,,5,30,19,7
601医薬品・化粧品小売業,,,7,60,39,35,1,,,,8,20,19,19
603燃料小売業,,,5,30,30,19,1,,,,5,9,9,8
609その他の小売業,,,19,146,114,102,17,272,97,93,37,1982,267,240
飲食店,,,10,31,12,8,1,,,,15,135,128,123
701一般飲食店,,,9,,,,1,,,,14,,,
711その他の飲食店,,,1,,,,,,,,1,,,
電気・ガス業,,,26,8277,2966,2407,19,,,,15,720,379,359
331電気業,,,14,4754,1636,1288,11,109,45,35,8,205,118,108
341ガス業,,,12,3523,1330,1119,8,132,92,78,7,515,261,251
643クレジットカード業・割賦金融業,,,2,,,,1,,,,3,,,
情報サービス・情報制作業,,,191,17926,8057,7934,41,182,125,114,72,879,556,418
情報サービス業,,,181,17863,8014,7892,32,95,53,50,57,740,440,337
391ソフトウェア業,,,130,16623,7457,7383,19,54,29,29,37,613,344,246
392情報処理・提供サービス業,,,51,1240,557,509,13,41,24,21,20,127,96,91
410情報制作業,,,10,63,43,42,9,87,72,64,15,139,116,81
411映画・ビデオ制作業,,,1,,,,,,,,3,7,4,4
413新聞業,,,4,,,,1,,,,1,,,
414出版業,,,5,52,41,40,8,,,,11,,,
774個人教授所,,,2,,,,,,,,1,,,
