産業,_特許権_企業数,_特許権_件数_所有数,_特許権_件数_使用のもの（含供与）_件,_特許権_件数_使用のもの（含供与）_うち自社開発,_実用新案権_企業数,_実用新案権_件数_所有数,_実用新案権__使用のもの（含供与）_件,_実用新案権__うち自社開発,_意匠権_企業数,_意匠権_件数_所有数,_意匠権__使用のもの（含供与）_件,_意匠権__うち自社開発
平成18年度,5805,1074751,415094,373599,3097,30891,17729,16844,3337,264879,98118,94117
総合計,5805,1074751,415094,373599,3097,30891,17729,16844,3337,264879,98118,94117
合計,5594,1059596,410339,369279,3001,29468,17432,16580,3238,260680,96193,92431
鉱業,5,45,17,14,,,,,,,,
製造業,4487,864961,366743,343221,2477,24656,14693,14033,2500,221665,84021,80682
090食料品製造業,247,6835,3089,2799,75,236,177,170,142,1757,1347,1153
091畜産食料品製造業,28,1495,287,230,11,37,22,21,16,550,386,265
092水産食料品製造業,24,214,135,81,8,,,,18,145,112,110
093精穀・製粉業,13,353,158,152,1,,,,4,34,31,5
099その他の食料品製造業,182,4773,2509,2336,55,163,125,121,104,1028,818,773
100飲料・たばこ・飼料製造業,63,2662,1406,1252,16,47,29,24,30,973,438,357
101清涼飲料・酒類・茶・たばこ製造業,48,2541,1331,1194,15,,,,26,963,428,349
102飼料・有機質肥料製造業,15,121,75,58,1,,,,4,10,10,8
110繊維工業,79,2744,1617,1571,39,173,108,95,36,943,465,449
111製糸・紡績業,2,,,,2,,,,2,,,
112織物・ニット生地製造業,17,,,,9,33,20,20,8,69,54,54
113染色整理業,20,171,127,111,5,,,,7,,,
119その他の繊維工業,40,1949,1235,1217,23,124,72,62,19,818,357,350
120衣服・その他の繊維製品製造業,31,543,325,292,29,140,123,122,31,515,226,199
121織物・ニット製衣服製造業,17,463,259,228,17,76,67,67,21,471,190,163
122身の回り品・その他の繊維製品製造業,14,80,66,64,12,64,56,55,10,44,36,36
130木材・木製品製造業（家具を除く）,25,671,269,251,12,50,30,30,11,462,110,110
131製材・合板製造業,21,551,253,242,10,,,,10,,,
139その他の木製品製造業,4,120,16,9,2,,,,1,,,
140家具・装備品製造業,34,3096,1818,1764,33,338,186,176,41,7250,5206,4765
150パルプ・紙・紙加工品製造業,101,5135,2458,2382,82,679,528,513,62,918,542,524
151パルプ・紙製造業,33,4140,1997,1943,20,360,300,300,19,329,165,160
152紙加工品製造業,68,995,461,439,62,319,228,213,43,589,377,364
160印刷・同関連業,63,9184,659,633,54,245,179,171,38,863,132,129
170化学工業,476,81818,33270,29185,125,695,426,408,163,8237,3351,2875
171化学肥料・無機化学工業製品製造業,50,5271,2068,1913,13,,,,12,,,
172有機化学工業製品製造業,101,31226,14514,12845,24,116,76,67,24,451,275,253
173化学繊維製造業,6,3125,1424,1415,1,,,,1,,,
174油脂加工製品等（注）,63,13851,3808,3682,16,195,93,93,19,1071,702,699
175医薬品製造業,107,7899,2498,1054,33,107,74,72,56,1943,927,842
179その他の化学工業製品製造業,149,20446,8958,8276,38,228,152,145,51,4352,1222,862
180石油製品・石炭製品製造業,21,2401,638,607,5,12,8,8,4,40,26,26
181石油精製業,10,2156,483,483,2,,,,3,,,
189その他の石油製品・石炭製品製造業,11,245,155,124,3,,,,1,,,
190プラスチック製品製造業,245,17972,9216,8200,152,1924,966,930,161,15793,10596,10256
200ゴム製品製造業,59,12827,6908,6303,35,264,128,126,34,2181,1498,1479
201タイヤ・チューブ製造業,6,9863,5631,5118,5,71,57,57,6,1889,1320,1320
209その他のゴム製品製造業,53,2964,1277,1185,30,193,71,69,28,292,178,159
210なめし革・同製品・毛皮製造業,9,66,41,36,7,111,32,25,9,180,90,78
220窯業・土石製品製造業,184,6973,4459,4147,115,751,493,426,99,6112,2563,2417
221ガラス・同製品製造業,41,1447,1108,1040,24,83,62,61,15,243,225,224
222セメント・同製品製造業,64,3132,1926,1769,45,491,291,233,49,4603,1934,1790
229その他の窯業・土石製品製造業,79,2394,1425,1338,46,177,140,132,35,1266,404,403
230鉄鋼業,114,25181,10414,7067,54,334,236,176,54,2006,1173,1113
231銑鉄・粗鋼・鋼材製造業,59,23695,9232,5935,27,134,77,65,28,1205,583,543
232鋳鍛造品・その他の鉄鋼製品製造業,55,1486,1182,1132,27,200,159,111,26,801,590,570
