産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち自社開発
総合計,6737,1258329,445401,400901,2441,17521,10059,9420,3734,227275,88909,81992
合計,6545,1252353,443035,398781,2366,17253,9885,9262,3628,226562,88433,81579
鉱業、採石業、砂利採取業,7,158,20,14,2,,,,,,,
製造業,5028,1110646,390836,353293,1830,14556,8305,7830,2716,205608,75961,70021
090食料品製造業,288,9422,3811,3452,59,204,174,166,149,1546,1082,802
091畜産食料品製造業,35,1819,332,301,4,,,,22,385,277,152
092水産食料品製造業,31,490,169,155,8,35,30,30,22,96,74,65
093精穀・製粉業,11,341,184,178,2,,,,4,11,5,5
099その他の食料品製造業,211,6772,3126,2818,45,152,129,121,101,1054,726,580
100飲料・たばこ・飼料製造業,71,1928,1087,976,15,33,29,29,35,1023,512,498
101清涼飲料・酒類・茶・たばこ製造業,55,1827,999,889,13,,,,28,968,457,443
102飼料・有機質肥料製造業,16,101,88,87,2,,,,7,55,55,55
110繊維工業,122,4211,2073,1990,67,273,222,210,77,1017,689,622
111製糸，紡績，ねん糸等製造業,15,1455,579,578,4,25,18,18,5,45,34,18
112織物・ニット生地製造業,20,592,278,273,7,42,37,37,9,56,35,35
113染色整理業,17,117,75,43,5,7,7,3,5,35,33,14
114その他の繊維工業,21,1054,480,479,8,43,31,31,12,74,30,25
115織物・ニット製衣服製造業,15,530,340,319,17,68,63,63,19,335,220,215
119身の回り品・その他の繊維製品製造業,34,463,321,298,26,88,66,58,27,472,337,315
120木材・木製品製造業（家具を除く）,26,735,340,340,15,39,33,33,16,657,436,424
121製材・合板製造業,22,565,259,259,12,24,18,18,12,376,256,244
129その他の木製品製造業（家具を除く）,4,170,81,81,3,15,15,15,4,281,180,180
130家具・装備品製造業,45,4257,2970,2888,31,150,97,94,50,7761,5944,5577
140パルプ・紙・紙加工品製造業,107,4516,2610,2506,75,464,321,315,64,733,561,554
141パルプ・紙製造業,28,3073,1595,1554,14,90,31,30,13,175,103,101
142紙加工品製造業,79,1443,1015,952,61,374,290,285,51,558,458,453
150印刷・同関連業,98,17410,1561,1471,71,319,167,138,52,1852,335,299
160化学工業,532,117239,55701,49273,98,965,567,561,184,9637,4577,4440
161化学肥料・無機化学工業製品製造業,62,7455,3050,2693,9,24,14,14,13,133,67,55
162有機化学工業製品製造業,118,77616,39855,34615,16,336,143,142,24,1507,1028,1021
163油脂加工製品等（注）,68,12239,5027,4831,19,134,42,42,23,2124,907,897
164医薬品製造業,116,9823,2695,2429,26,129,55,53,70,2020,676,583
169その他の化学工業製品製造業,168,10106,5074,4705,28,342,313,310,54,3853,1899,1884
170石油製品・石炭製品製造業,24,2576,1130,1091,3,11,8,8,5,302,280,280
171石油精製業,9,2003,743,711,1,,,,3,,,
179その他の石油製品・石炭製品製造業,15,573,387,380,2,,,,2,,,
180プラスチック製品製造業,277,26508,12581,11859,120,1140,768,746,168,14124,8405,8306
190ゴム製品製造業,65,16225,8329,7690,25,204,134,132,35,3795,2176,2008
191タイヤ・チューブ製造業,5,12527,6513,6007,3,31,,,5,3398,1863,1716
199その他のゴム製品製造業,60,3698,1816,1683,22,173,134,132,30,397,313,292
200なめし革・同製品・毛皮製造業,7,79,45,40,7,54,40,24,10,251,168,148
210窯業・土石製品製造業,199,9396,4857,4614,98,1001,699,662,113,6042,2367,2297
211ガラス・同製品製造業,33,1820,1066,1053,11,32,25,25,16,430,348,345
212セメント・同製品製造業,68,3138,1255,1146,40,429,224,197,54,4314,1270,1213
219その他の窯業・土石製品製造業,98,4438,2536,2415,47,540,450,440,43,1298,749,739
220鉄鋼業,127,28725,11995,8080,39,124,68,58,56,2253,913,831
221銑鉄・粗鋼・鋼材製造業,73,27265,11346,7469,21,66,31,24,33,1589,613,537
222鋳鍛造品・その他の鉄鋼製品製造業,54,1460,649,611,18,58,37,34,23,664,300,294
230非鉄金属製造業,151,22712,7233,5616,31,115,79,73,54,2210,1013,842
231非鉄金属製錬・精製業,36,5979,1775,1482,6,17,12,12,11,584,327,240
232非鉄金属加工品製造業,115,16733,5458,4134,25,98,67,61,43,1626,686,602
240金属製品製造業,426,19428,11573,10662,200,1131,683,579,277,13145,7250,6939
241建設用・建築用金属製品製造業,129,6270,3530,3248,70,381,218,195,93,5554,3645,3536
249その他の金属製品製造業,297,13158,8043,7414,130,750,465,384,184,7591,3605,3403
250はん用機械器具製造業,301,29842,13870,12816,118,1409,856,816,176,5103,3045,2932
251ボイラ・原動機製造業,19,2662,884,823,4,7,5,5,13,726,262,252
252ポンプ・圧縮機器製造業,65,5136,3121,2978,32,178,132,128,42,1117,904,879
253一般産業用機械・装置製造業,110,14500,6591,6473,47,356,261,229,65,1369,928,879
259その他のはん用機械・同部品製造業,107,7544,3274,2542,35,868,458,454,56,1891,951,922
260生産用機械器具製造業,520,47861,28053,25747,183,1450,934,905,230,5488,4089,3390
261金属加工機械製造業,121,5505,3082,2817,33,384,250,245,55,997,492,481
