産業,特許権_企業数,特許権_件数_所有数,特許権_件数_使用のもの（含供与）_件,特許権_件数_使用のもの（含供与）_うち、自社開発,実用新案権_企業数,実用新案権_件数_所有数,実用新案権__使用のもの（含供与）_件,実用新案権__うち、自社開発,意匠権_企業数,意匠権_件数_所有数,意匠権__使用のもの（含供与）_件,意匠権__うち、自社開発
総合計,7000,1699109,585511,519217,2264,20087,9958,8537,3637,190884,94972,86903
合計,6767,1648893,580138,514770,2185,19696,9814,8405,3526,185944,94359,86350
鉱業、採石業、砂利採取業,6,107,7,7,,,,,,,,
製造業,4985,1390780,491725,431649,1635,16257,7855,6601,2602,156927,78682,72827
090食料品製造業,292,10132,4657,4072,55,177,101,96,161,1891,1236,968
091畜産食料品製造業,35,1571,697,403,6,11,9,9,20,407,316,145
092水産食料品製造業,23,351,80,79,9,50,17,16,24,125,82,76
093精穀・製粉業,13,128,58,56,1,,,,1,,,
099その他の食料品製造業,221,8082,3822,3534,39,,75,71,116,,,
100飲料・たばこ・飼料製造業,75,2683,744,724,15,31,14,13,35,1027,450,446
101清涼飲料・酒類・茶・たばこ製造業,59,2529,615,601,14,,14,13,31,1015,440,436
102飼料・有機質肥料製造業,16,154,129,123,1,,,,4,12,10,10
110繊維工業,148,7652,2599,2388,68,331,250,217,72,939,717,694
111製糸，紡績，ねん糸等製造業,15,3597,276,269,3,16,12,12,6,42,5,5
112織物・ニット生地製造業,24,842,445,408,9,23,14,13,8,76,68,68
113染色整理業,24,414,280,227,6,11,10,5,3,22,22,13
114その他の繊維工業,34,1449,663,625,15,85,56,53,17,182,115,108
115織物・ニット製衣服製造業,18,787,547,503,15,89,71,70,14,285,219,216
119身の回り品・その他の繊維製品製造業,33,563,388,356,20,107,87,64,24,332,288,284
120木材・木製品製造業（家具を除く）,27,1054,514,514,9,18,16,16,16,908,548,548
121製材・合板製造業,26,,,,9,18,16,16,16,908,548,548
129その他の木製品製造業（家具を除く）,1,,,,,,,,,,,
130家具・装備品製造業,40,3143,2548,2391,20,59,35,30,34,5719,4773,4437
140パルプ・紙・紙加工品製造業,113,13300,7892,7738,65,563,364,355,70,1600,863,849
141パルプ・紙製造業,36,7602,3306,3273,16,209,92,91,20,1036,474,467
142紙加工品製造業,77,5698,4586,4465,49,354,272,264,50,564,389,382
150印刷・同関連業,100,24116,2123,1868,61,230,117,99,53,2430,433,341
160化学工業,533,144865,63355,53360,92,1350,552,518,193,11203,4595,3866
161化学肥料・無機化学工業製品製造業,56,8522,3126,3086,6,17,5,5,12,147,76,76
162有機化学工業製品製造業,116,85443,39137,30124,21,400,157,131,28,1944,718,634
163油脂加工製品等（注）,66,9498,4801,4670,11,68,14,13,13,540,321,317
164医薬品製造業,119,9568,3055,2869,20,58,29,27,77,2429,1008,885
169その他の化学工業製品製造業,176,31834,13236,12611,34,807,347,342,63,6143,2472,1954
170石油製品・石炭製品製造業,21,4297,1681,1598,2,,,,3,48,48,48
171石油精製業,7,3139,1042,1038,1,,,,2,,,
179その他の石油製品・石炭製品製造業,14,1158,639,560,1,,,,1,,,
180プラスチック製品製造業,306,32718,14741,13766,125,943,362,340,196,13071,9767,9479
190ゴム製品製造業,70,26274,4741,4685,22,118,52,50,43,6548,1329,1084
191タイヤ・チューブ製造業,8,22655,2810,2810,4,50,9,9,6,5994,932,710
199その他のゴム製品製造業,62,3619,1931,1875,18,68,43,41,37,554,397,374
200なめし革・同製品・毛皮製造業,4,113,92,92,3,50,45,45,4,96,88,88
210窯業・土石製品製造業,202,14054,6207,5925,78,384,197,150,115,2688,1769,1430
211ガラス・同製品製造業,36,4693,2160,2143,12,40,19,16,23,436,319,311
212セメント・同製品製造業,58,4073,1626,1436,31,167,106,66,54,1284,1047,728
219その他の窯業・土石製品製造業,108,5288,2421,2346,35,177,72,68,38,968,403,391
220鉄鋼業,143,42789,7869,7224,33,158,83,78,54,2398,833,731
221銑鉄・粗鋼・鋼材製造業,81,41172,7123,6565,20,98,28,25,32,1919,549,461
222鋳鍛造品・その他の鉄鋼製品製造業,62,1617,746,659,13,60,55,53,22,479,284,270
230非鉄金属製造業,137,25178,8052,7497,32,171,100,93,51,2368,1094,954
231非鉄金属製錬・精製業,34,7931,2014,1585,9,47,41,41,12,581,373,273
232非鉄金属加工品製造業,103,17247,6038,5912,23,124,59,52,39,1787,721,681
240金属製品製造業,448,29458,16518,15889,180,1533,1279,504,271,15141,8853,8714
241建設用・建築用金属製品製造業,130,13272,8230,7848,59,306,203,175,92,9224,5942,5890
