,産業,年度,企業数,経常利益率 ＜－10%,－10%≦ 経常利益率 ＜－8%,－8%≦ 経常利益率 ＜－6%,－6%≦ 経常利益率 ＜－4%,－4%≦ 経常利益率 ＜－2%,－2%≦ 経常利益率 ＜0%,0%≦ 経常利益率 ≦2%,2%＜ 経常利益率 ≦4%,4%＜ 経常利益率 ≦6%,6%＜ 経常利益率 ≦8%,8%＜ 経常利益率 ≦10%,10%＜ 経常利益率,合計
8,総合計,平成13年度,28151,146200,83981,121852,219811,413503,660192,3881194,2117453,1203016,872723,447124,748490,10915539
9,総合計,平成14年度,27545,102662,32406,53906,120923,207224,497691,3951310,2486434,1267832,863389,408822,864619,10857218
10,総合計,平成15年度,26634,51998,26143,45916,71996,178830,366181,3855748,2540877,1338840,947650,510613,957321,10892113
11,総合計,平成16年度,28340,63821,29638,58581,62510,142078,464323,3909505,2443419,1606264,1001892,754916,1198374,11735321
12,総合計,平成17年度,27677,62236,25045,51396,57880,204194,504735,3374269,2640386,1627738,948779,784312,1392178,11673148
14,合計,平成13年度,26877,140478,82284,120047,218395,406851,645075,3734886,2001052,1149832,846224,417994,683860,10446978
15,合計,平成14年度,26196,100328,32114,50068,116929,202571,475475,3809435,2371991,1207793,806511,379034,785149,10337398
16,合計,平成15年度,25368,47609,25607,44087,68909,170609,348556,3714199,2440562,1268438,902296,486527,884975,10402374
17,合計,平成16年度,26813,49509,27725,54191,60364,130837,441214,3757483,2301566,1521650,940481,694603,1080883,11060506
18,合計,平成17年度,26114,54523,23298,43527,54225,192274,475323,3203997,2403504,1558208,873454,720984,1263437,10866754
20,　鉱業,平成13年度,58,170,-,72,236,76,482,2215,683,381,73,-,3468,7856
21,　鉱業,平成14年度,48,321,-,-,-,54,252,1826,662,313,118,360,3355,7261
22,　鉱業,平成15年度,43,158,-,-,-,-,134,1947,1054,398,73,172,3705,7641
23,　鉱業,平成16年度,38,77,63,71,77,-,-,570,1631,135,470,93,3293,6480
24,　鉱業,平成17年度,37,57,-,136,-,82,68,425,641,275,404,-,3626,5714
26,　製造業,平成13年度,13247,99608,66900,97816,173142,306924,322350,1471335,916641,570941,362454,223496,426311,5037918
27,　製造業,平成14年度,12946,53476,20509,37557,72619,107122,236259,1451254,1116642,668541,363945,202495,492638,4823057
28,　製造業,平成15年度,12450,31568,16958,24530,44579,101260,141107,1329695,1185293,685584,493210,227173,565636,4846593
29,　製造業,平成16年度,13235,26357,17971,29941,25484,61169,192425,1211863,1118781,753612,571112,419259,658338,5086312
30,　製造業,平成17年度,12990,30533,12170,32283,28482,116493,171744,1053035,1016753,774116,480573,407231,864287,4987700
