,産業,年度,企業数,経常利益率 <-10%,－10%≦ 経常利益率 <-8%,－8%≦ 経常利益率 <-6%,－6%≦ 経常利益率 <-4%,－4%≦ 経常利益率 <-2%,－2%≦ 経常利益率 <0%,0%≦ 経常利益率 ≦2%,2%< 経常利益率 ≦4%,4%< 経常利益率 ≦6%,6%< 経常利益率 ≦8%,8%< 経常利益率 ≦10%,10%< 経常利益率,合計
7,総合計,平成15年度,26634,51998,26143,45916,71996,178830,366181,3855748,2540877,1338840,947650,510613,957321,10892113
8,総合計,平成16年度,28340,63821,29638,58581,62510,142078,464323,3909505,2443419,1606264,1001892,754916,1198374,11735321
9,総合計,平成17年度,27677,62236,25045,51396,57880,204194,504735,3374269,2640386,1627738,948779,784312,1392178,11673148
10,総合計,平成18年度,27917,69665,22264,46910,91308,148044,589716,3475659,2855423,1740542,1133020,664344,1565211,12402106
11,総合計,平成19年度,29080,92902,27803,63999,241385,181969,676431,3540054,3082134,1887883,1137777,615984,1370260,12918581
12,合計,平成15年度,25368,47609,25607,44087,68909,170609,348556,3714199,2440562,1268438,902296,486527,884975,10402374
13,合計,平成16年度,26813,49509,27725,54191,60364,130837,441214,3757483,2301566,1521650,940481,694603,1080883,11060506
14,合計,平成17年度,26114,54523,23298,43527,54225,192274,475323,3203997,2403504,1558208,873454,720984,1263437,10866754
15,合計,平成18年度,26605,60857,18172,32640,70150,138372,556971,3286913,2732160,1670199,1071196,644516,1380508,11662654
16,合計,平成19年度,28052,80303,25152,61123,226739,176654,638854,3439875,3005786,1843346,1108442,580954,1265086,12452314
17,　鉱業、採石業、砂利採取業,平成15年度,43,158,-,-,-,-,134,1947,1054,398,73,172,3705,7641
18,　鉱業、採石業、砂利採取業,平成16年度,38,77,63,71,77,-,-,570,1631,135,470,93,3293,6480
19,　鉱業、採石業、砂利採取業,平成17年度,37,57,-,136,-,82,68,425,641,275,404,-,3626,5714
20,　鉱業、採石業、砂利採取業,平成18年度,38,50,-,127,-,74,-,781,549,238,382,90,3793,6084
21,　鉱業、採石業、砂利採取業,平成19年度,36,-,-,-,70,60,147,590,1029,234,52,354,2245,4781
22,　製造業,平成15年度,12450,31568,16958,24530,44579,101260,141107,1329695,1185293,685584,493210,227173,565636,4846593
23,　製造業,平成16年度,13235,26357,17971,29941,25484,61169,192425,1211863,1118781,753612,571112,419259,658338,5086312
24,　製造業,平成17年度,12990,30533,12170,32283,28482,116493,171744,1053035,1016753,774116,480573,407231,864287,4987700
25,　製造業,平成18年度,12777,28866,9781,16205,40520,65495,276709,924093,1059361,851281,500119,367795,909840,5050065
26,　製造業,平成19年度,13354,42605,12767,34153,41053,79491,266084,1057226,1166314,831473,608982,329420,823388,5292956
27,　　090　食料品製造業,平成19年度,1498,5937,1221,3192,2823,11521,41796,208610,151677,58341,22516,6109,12698,526441
28,　　100　飲料・たばこ・飼料製造業,平成19年度,197,524,-,419,146,157,3751,22436,9580,9961,21595,5940,3141,77650
29,　　110　繊維工業,平成19年度,537,2625,702,1842,1167,5710,7147,35037,21871,10959,24527,3926,5883,121396
30,　　120　木材・木製品製造業（家具を除く）,平成19年度,138,335,57,-,2191,1897,5928,8411,4556,672,866,135,897,25945
31,　　130　家具・装備品製造業,平成19年度,128,563,-,50,798,1596,6479,10912,4992,4648,1101,424,808,32371
32,　　140　パルプ・紙・紙加工品製造業,平成19年度,383,538,185,479,737,2157,5726,34937,35001,14758,6311,1262,1146,103237
33,　　150　印刷・同関連業,平成19年度,622,859,210,465,1639,1937,11327,38191,50784,21124,13592,3486,9348,152962
34,　　160　化学工業,平成19年度,915,1909,629,1548,845,1803,6048,38976,72172,38110,60147,49762,172794,444743
35,　　170　石油製品・石炭製品製造業,平成19年度,52,-,-,-,64,58,345,19881,3654,669,1061,513,855,27100
36,　　180　プラスチック製品製造業,平成19年度,757,597,1209,902,1933,5716,9446,50493,35684,29924,10363,16986,14027,177280
37,　　190　ゴム製品製造業,平成19年度,148,63,-,-,365,391,942,9884,17272,7884,5328,9620,20780,72529
38,　　200　なめし革・同製品・毛皮製造業,平成19年度,32,354,-,124,-,84,446,1908,825,78,513,59,-,4391
39,　　210　窯業・土石製品製造業,平成19年度,481,1111,652,1164,2798,5215,6282,24616,17801,15184,12530,3868,15089,106310
40,　　220　鉄鋼業,平成19年度,422,306,415,77,1987,501,2295,17231,18491,28350,29284,16559,58502,173998
41,　　230　非鉄金属製造業,平成19年度,348,165,-,379,87,742,3671,22061,40688,32105,13101,3239,9793,126031
42,　　240　金属製品製造業,平成19年度,1006,2587,462,1834,4836,4334,10258,63732,43056,29439,25958,11624,31403,229523
43,　　250　はん用機械器具製造業,平成19年度,594,345,1515,10716,253,1473,5667,18418,57489,29662,32239,23603,42790,224170
44,　　260　生産用機械器具製造業,平成19年度,945,1431,588,785,1554,2569,5483,31638,30128,29518,23700,34674,72461,234529
45,　　270　業務用機械器具製造業,平成19年度,483,9959,212,1138,2137,1468,7062,21886,38127,33022,28964,12384,72760,229119
