,産業,年度,企業数,経常利益率<-10%,－10%≦経常利益率<-8%,－8%≦経常利益率<-6%,－6%≦経常利益率<-4%,－4%≦経常利益率<-2%,－2%≦経常利益率<0%,0%≦経常利益率≦2%,2%<経常利益率≦4%,4%<経常利益率≦6%,6%<経常利益率≦8%,8%<経常利益率≦10%,10%<経常利益率,合計
3,総合計,2015年度,30231,76216,41664,64067,81521,193552,612730,3804993,3314852,2644163,1432669,940394,2014781,15221602
4,総合計,2016年度,30151,83650,27321,44985,60609,165550,424227,3754856,3454044,2668775,1469932,897393,2088641,15139983
5,総合計,2017年度,29530,76549,18998,35020,75641,155220,452852,3622057,3128649,2676197,1761478,787581,2362377,15152619
6,総合計,2018年度,29780,85674,17469,50094,107515,185799,505794,3801199,3120867,2660768,1560029,893542,2413369,15402119
7,総合計,2019年度,29295,116289,38058,56487,121787,323376,817801,3606890,3123952,2480078,1332252,929381,2138668,15085019
8,合計,2015年度,28759,74716,40993,63564,74759,186086,600063,3648219,3171959,2511367,1359595,899655,1840078,14471054
9,合計,2016年度,28715,80459,24777,43700,59756,158843,417315,3611900,3306542,2531022,1353960,865287,1923232,14376793
10,合計,2017年度,28160,75698,16350,34794,75038,152318,441177,3484634,2994643,2584696,1697662,725760,2178740,14461510
11,合計,2018年度,28405,79938,16587,49350,102501,179015,494050,3647655,3005523,2545246,1473912,860697,2206052,14660526
12,合計,2019年度,27945,101931,31287,52267,113909,318910,805167,3491706,2986125,2357196,1260131,893767,1936945,14349341
13,鉱業、採石業、砂利採取業,2015年度,36,***,844,54,***,59,***,582,320,737,53,68,3864,6581
14,鉱業、採石業、砂利採取業,2016年度,35,1062,***,***,308,59,259,307,274,584,360,258,3102,6573
15,鉱業、採石業、砂利採取業,2017年度,38,363,***,***,***,***,195,448,169,674,440,***,4070,6359
16,鉱業、採石業、砂利採取業,2018年度,39,845,***,***,126,***,***,525,275,367,627,104,3449,6318
17,鉱業、採石業、砂利採取業,2019年度,32,429,***,***,***,***,***,504,267,278,560,434,1342,3814
18,製造業,2015年度,12891,42898,27128,29099,41629,115673,248839,940344,900119,812694,608456,451168,1062102,5280149
19,製造業,2016年度,12870,43042,10374,16475,32082,60986,167276,820875,1044391,880688,635635,412780,1140967,5265571
20,製造業,2017年度,12705,41185,8828,19155,36939,46298,163147,786956,892826,806079,818838,394210,1292284,5306745
21,製造業,2018年度,12826,38058,11453,27169,42155,68513,190066,901560,957117,830415,585226,426637,1249182,5327551
22,製造業,2019年度,12712,60875,17157,23835,52824,180100,305275,959783,981148,772790,481817,365587,1072399,5273590
23,食料品製造業,2019年度,1567,4582,1308,3360,8918,15619,37232,182292,179880,100473,31378,35442,48431,648915
24,飲料・たばこ・飼料製造業,2019年度,197,455,184,521,909,2646,1900,15067,11399,15986,6532,2871,12983,71453
25,繊維工業,2019年度,419,2568,433,1164,1032,3881,3958,18412,13337,13981,3065,15971,10542,88344
26,木材・木製品製造業（家具を除く）,2019年度,146,65,***,211,250,899,2049,6931,7914,4309,1256,3392,2057,29333
27,家具・装備品製造業,2019年度,123,57,***,375,397,450,1026,5872,6266,7792,8876,1919,2772,35802
28,パルプ・紙・紙加工品製造業,2019年度,381,358,283,680,276,1638,4186,32238,25847,14614,11488,6396,5816,103820
29,印刷・同関連業,2019年度,506,423,349,878,2653,3360,8242,49610,31110,26533,10701,2441,4764,141064
30,化学工業,2019年度,898,1515,812,2477,1614,4596,12662,28034,45584,56629,37125,59519,218974,469541
31,石油製品・石炭製品製造業,2019年度,50,263,145,***,1188,3343,495,7612,424,2138,1100,1517,1580,19805
32,プラスチック製品製造業,2019年度,787,1032,382,1239,1886,3159,9845,37828,33579,35851,25431,13217,23397,186846
33,ゴム製品製造業,2019年度,163,274,***,1932,132,1414,2789,8142,8647,4783,4435,7515,37455,77518
34,なめし革・同製品・毛皮製造業,2019年度,24,171,130,***,***,320,***,1072,626,104,***,***,697,3120
35,窯業・土石製品製造業,2019年度,446,875,1077,655,1743,5096,5558,13224,12279,16052,19297,8436,16739,101031
36,鉄鋼業,2019年度,440,***,1065,855,1700,22597,48407,43072,25283,19460,11537,6281,7554,187811
