産業,企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
総合計,8068,299536235,10438431,8893697,1544734,669247,77407,3.48,418136,125969,9636,1771,476616,7645,376301
合計,7909,290389660,10391978,8864962,1527016,668768,77400,3.58,417167,125708,9636,1750,473123,7306,371345
鉱業、採石業、砂利採取業,7,,,,,470,,,,,,1,,9,
製造業,6101,209652609,9548493,8205540,1342953,648434,72595,4.55,257652,45464,1159,1518,438009,3489,289566
090食料品製造業,676,12609629,147598,134512,13086,1670,1965,1.17,1553,505,,113,10035,354,4236
091畜産食料品製造業,96,3508551,28954,27888,1066,573,,0.83,178,,,14,1758,58,867
092水産食料品製造業,81,714643,3527,3434,93,62,,0.49,44,24,,6,51,40,169
093精穀・製粉業,20,554448,6109,6023,86,,,1.1,636,,,5,341,11,150
099その他の食料品製造業,479,7831987,109008,97167,11841,1035,1965,1.39,695,481,,88,7885,245,3050
100飲料・たばこ・飼料製造業,115,8144155,83325,80548,2777,109,,1.02,526,297,18,35,8509,57,863
101清涼飲料・酒類・茶・たばこ製造業,85,7150982,77288,74851,2437,22,,1.08,438,270,18,25,8252,45,768
102飼料・有機質肥料製造業,30,993173,6037,5697,340,87,,0.61,88,27,,10,257,12,95
110繊維工業,150,1263401,29970,29101,869,116,,2.37,343,,,21,1678,61,390
111製糸，紡績，ねん糸等製造業,24,211072,9286,9050,236,26,,4.4,286,,,6,1000,8,34
112織物・ニット生地製造業,29,277131,7496,7396,100,,,2.7,48,,,1,,12,127
113染色整理業,25,102912,2028,1972,56,1,,1.97,7,,,2,,8,37
114その他の繊維工業,31,254419,5446,5216,230,83,,2.14,,,,5,154,11,27
115織物・ニット製衣服製造業,17,250156,4368,4148,220,6,,1.75,,,,2,,11,86
119身の回り品・その他の繊維製品製造業,24,167711,1346,1319,27,,,0.8,2,,,5,22,11,79
120木材・木製品製造業（家具を除く）,30,520953,2364,2327,37,,,0.45,,,,3,90,24,116
121製材・合板製造業,26,465642,2234,2197,37,,,0.48,,,,3,90,19,106
129その他の木製品製造業（家具を除く）,4,55311,130,130,,,,0.24,,,,,,5,10
130家具・装備品製造業,65,784917,10424,10396,28,1,,1.33,115,115,,5,116,27,100
140パルプ・紙・紙加工品製造業,105,3256137,20334,19906,428,177,67,0.62,6,6,,14,691,80,758
141パルプ・紙製造業,41,1883922,14818,14554,264,104,7,0.79,6,6,,7,185,32,384
142紙加工品製造業,64,1372215,5516,5352,164,73,60,0.4,,,,7,506,48,374
150印刷・同関連業,70,2965958,46882,46105,777,729,1,1.58,70,65,,13,3955,117,1187
160化学工業,709,20805284,1601339,1348203,253136,12855,10878,7.7,21431,1048,525,333,78085,356,27067
161化学肥料・無機化学工業製品製造業,68,1500000,43950,41333,2617,156,131,2.93,549,118,43,30,4275,34,527
162有機化学工業製品製造業,127,8009222,381685,354073,27612,4585,5428,4.77,2442,384,236,69,34454,64,1676
163油脂加工製品等（注）,100,2272881,86989,85475,1514,240,922,3.83,156,126,,42,9285,39,1008
164医薬品製造業,183,5847817,951186,745328,205858,3398,4310,16.27,17363,271,246,90,22842,111,22384
169その他の化学工業製品製造業,231,3175364,137529,121994,15535,4476,87,4.33,921,149,,102,7229,108,1472
170石油製品・石炭製品製造業,39,12977683,35075,32564,2511,231,,0.27,1461,18,507,17,3599,22,677
171石油精製業,14,12546471,30342,28430,1912,3,,0.24,1461,18,507,7,3400,12,653
179その他の石油製品・石炭製品製造業,25,431212,4733,4134,599,228,,1.1,,,,10,199,10,24
180プラスチック製品製造業,315,5180577,127763,120527,7236,964,1301,2.47,2118,3,,71,5882,172,1725
190ゴム製品製造業,71,2056675,156076,145033,11043,140,,7.59,116,,,18,,34,1117
191タイヤ・チューブ製造業,8,1498513,138016,127160,10856,,,9.21,116,,,2,,3,922
199その他のゴム製品製造業,63,558162,18060,17873,187,140,,3.24,,,,16,1782,31,195
200なめし革・同製品・毛皮製造業,13,37627,786,775,11,,,2.09,,,,2,,4,12
210窯業・土石製品製造業,220,2658514,58304,57053,1251,784,,2.19,2942,115,,42,3857,103,724
