産業,__7830_8068,__361433981_299536235,計__12886297_10438431,自社研究開発費（百万円）__11039871_8893697,委託研究開発費（百万円）__1846426_1544734,委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）_-_669247,委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）_-_77407,__3.57_3.48,__543439_418136,_うち、関係会社からの受託_国内（百万円）_-_125969,_うち、関係会社からの受託_海外（百万円）_-_9636,__2349_1771,__1292531_476616,__-_7645,__-_376301
,12,Ｘ,Ｘ,441,Ｘ,,,Ｘ,,,,1,Ｘ,9,477
,6383,231589536,11131478,9601348,1530130,759970,200528,4.81,247275,47171,30663,1539,466627,3745,124860
,690,13862506,153460,142068,11392,5586,3370,1.11,962,886,,106,10489,378,3844
,101,4404843,42028,40972,1056,254,,0.95,18,,,14,7173,67,796
,78,614613,3279,3173,106,15,45,0.53,17,4,,3,67,37,230
,17,490642,4432,4418,14,,,0.9,3,,,3,32,15,140
,494,8352408,103721,93505,10216,5317,3325,1.24,924,882,,86,3217,259,2678
,119,6587258,77553,76575,978,96,,1.18,211,,,35,2138,68,904
,89,5620520,72471,71683,788,24,,1.29,168,,,27,1913,56,770
,30,966738,5082,4892,190,72,,0.53,43,,,8,225,12,134
,162,1734194,73866,70112,3754,1157,2206,4.26,860,114,65,22,5667,67,840
,26,753239,55901,52651,3250,1036,2206,7.42,791,86,65,9,5311,7,600
,30,303263,6633,6592,41,,,2.19,6,,,1,Ｘ,12,74
,28,144431,2343,2307,36,13,,1.62,3,,,2,Ｘ,10,19
,29,213904,3954,3765,189,82,,1.85,36,28,,6,113,13,34
,17,213610,3638,3438,200,8,,1.7,,,,2,Ｘ,16,89
,32,105747,1397,1359,38,18,,1.32,24,,,2,Ｘ,9,24
,31,517343,2333,2296,37,2,,0.45,29,,,4,23,20,64
,26,447761,1936,1926,10,,,0.43,29,,,3,Ｘ,16,56
,5,69582,397,370,27,2,,0.57,,,,1,Ｘ,4,8
,57,865922,7965,7882,83,61,,0.92,,,,5,81,26,318
