産業,,_企業数,_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
総合計,,8529,359712430,12566124,10562559,2003565,889865,301752,3.49,1085292,689393,26037,1880,568651,8792,202601
合計,,8344,354855674,12529941,10534003,1995938,888125,301693,3.53,1083726,689209,26037,1853,567787,8337,194737
鉱業、採石業、砂利採取業,,10,ｘ,ｘ,ｘ,ｘ,,,ｘ,1,,,2,ｘ,10,453
製造業,,6327,247885980,11429615,9607064,1822551,864870,289343,4.61,329351,72562,18901,1585,475944,3776,95351
090食料品製造業,,681,14258360,162253,149345,12908,5115,4085,1.14,804,620,,102,20678,380,3600
091畜産食料品製造業,,100,4398092,49603,48587,1016,252,,1.13,,,,12,15261,75,809
092水産食料品製造業,,75,711597,3670,3486,184,25,,0.52,10,3,,6,47,38,182
093精穀・製粉業,,15,492607,4138,4132,6,,,0.84,4,,,4,42,12,165
099その他の食料品製造業,,491,8656064,104842,93140,11702,4838,4085,1.21,790,617,,80,5328,255,2444
100飲料・たばこ・飼料製造業,,120,7174203,81627,78671,2956,61,,1.14,353,,,35,6046,71,930
101清涼飲料・酒類・茶・たばこ製造業,,91,6017632,77234,74393,2841,1,,1.28,319,,,27,5671,55,751
102飼料・有機質肥料製造業,,29,1156571,4393,4278,115,60,,0.38,34,,,8,375,16,179
110繊維工業,,164,1858668,111820,107285,4535,1746,2410,6.02,1820,975,128,33,5587,73,756
111製糸，紡績，ねん糸等製造業,,26,814979,93116,89147,3969,1555,2410,11.43,1684,975,128,12,4624,8,492
112織物・ニット生地製造業,,25,309307,7327,7229,98,4,,2.37,31,,,4,411,10,55
113染色整理業,,28,148774,2415,2391,24,13,,1.62,2,,,4,118,10,19
114その他の繊維工業,,36,258508,4669,4419,250,139,,1.81,63,,,8,ｘ,16,54
115織物・ニット製衣服製造業,,19,216856,3564,3420,144,17,,1.64,,,,1,ｘ,13,81
119身の回り品・その他の繊維製品製造業,,30,110244,729,679,50,18,,0.66,40,,,4,46,16,55
120木材・木製品製造業（家具を除く）,,28,523497,2160,2146,14,,,0.41,17,,,5,71,25,109
121製材・合板製造業,,25,446979,1959,1945,14,,,0.44,17,,,4,ｘ,20,98
129その他の木製品製造業（家具を除く）,,3,76518,201,201,,,,0.26,,,,1,ｘ,5,11
130家具・装備品製造業,,63,931276,8193,7943,250,57,,0.88,,,,6,601,27,303
140パルプ・紙・紙加工品製造業,,110,3960882,17654,16601,1053,699,137,0.45,209,86,3,20,3079,87,595
141パルプ・紙製造業,,43,2439297,12717,12061,656,567,,0.52,123,,3,9,2793,29,265
142紙加工品製造業,,67,1521585,4937,4540,397,132,137,0.32,86,86,,11,286,58,330
150印刷・同関連業,,85,2928203,42923,42692,231,52,,1.47,138,,,9,2235,146,3931
160化学工業,,774,30146810,2236928,1796316,440612,26137,143046,7.42,60960,3308,11194,383,109628,391,24969
161化学肥料・無機化学工業製品製造業,,83,1742277,52610,45662,6948,2063,,3.02,513,212,23,40,5102,33,512
162有機化学工業製品製造業,,155,12146620,465259,416825,48434,8667,8154,3.83,6236,637,,83,39198,76,2563
163油脂加工製品等（注）,,104,2605184,98438,92750,5688,3278,1734,3.78,198,175,,47,11876,51,1528
164医薬品製造業,,200,9452066,1426820,1066475,360345,4837,132622,15.1,48322,752,11171,105,38584,121,18561
169その他の化学工業製品製造業,,232,4200663,193801,174604,19197,7292,536,4.61,5691,1532,,108,14868,110,1805
170石油製品・石炭製品製造業,,33,15222135,29601,27871,1730,,,0.19,544,,,16,4317,16,584
171石油精製業,,12,14727561,22415,20734,1681,,,0.15,539,,,7,3652,9,479
179その他の石油製品・石炭製品製造業,,21,494574,7186,7137,49,,,1.45,5,,,9,665,7,105
