産業,,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
総合計,,8527,356508776,14504871,12079769,2425102,961675,462589,4.07,1156934,89187,16646,1924,644839,8971,212407
合計,,8331,350070372,14473363,12050489,2422874,961185,462573,4.13,1155192,88804,16646,1899,643248,8491,202060
鉱業、採石業、砂利採取業,,7,,,,,3,,,,,,2,,6,
製造業,,6230,240466357,11785405,9835180,1950225,913457,306041,4.9,304226,34055,4628,1592,553094,3759,92111
090食料品製造業,,679,14538666,133986,129303,4683,743,121,0.92,181,51,,112,10072,381,5103
091畜産食料品製造業,,103,4647282,37500,36901,599,258,,0.81,8,,,16,4414,67,947
092水産食料品製造業,,74,712315,3155,3059,96,1,,0.44,34,,,6,82,31,157
093精穀・製粉業,,17,324624,1927,1926,1,,,0.59,,,,3,57,12,92
099その他の食料品製造業,,485,8854445,91404,87417,3987,484,121,1.03,139,51,,87,5519,271,3907
100飲料・たばこ・飼料製造業,,112,6444541,73287,71215,2072,103,,1.14,330,,,36,3424,70,987
101清涼飲料・酒類・茶・たばこ製造業,,85,5596482,69048,67065,1983,43,,1.23,313,,,29,2875,59,872
102飼料・有機質肥料製造業,,27,848059,4239,4150,89,60,,0.5,17,,,7,549,11,115
110繊維工業,,155,1938316,94421,87457,6964,1922,4535,4.87,2766,888,142,20,9470,72,1417
111製糸，紡績，ねん糸等製造業,,23,850765,76099,69557,6542,1703,4535,8.94,2658,888,142,7,9029,11,1106
112織物・ニット生地製造業,,28,345777,7339,7290,49,,,2.12,8,,,1,,9,79
113染色整理業,,31,165201,2394,2320,74,54,,1.45,46,,,2,,9,22
114その他の繊維工業,,36,276144,4693,4425,268,152,,1.7,54,,,7,194,17,75
115織物・ニット製衣服製造業,,15,171172,3211,3198,13,13,,1.88,,,,1,,11,86
119身の回り品・その他の繊維製品製造業,,22,129257,685,667,18,,,0.53,,,,2,,15,49
120木材・木製品製造業（家具を除く）,,31,565121,2219,2137,82,36,,0.39,,,,5,38,26,183
121製材・合板製造業,,30,,,,82,36,,,,,,5,38,24,
129その他の木製品製造業（家具を除く）,,1,,,,,,,,,,,,,2,
130家具・装備品製造業,,60,839864,8889,8682,207,53,,1.06,,,,1,,23,261
140パルプ・紙・紙加工品製造業,,105,4038118,27072,26302,770,597,,0.67,752,225,3,19,2213,85,728
141パルプ・紙製造業,,42,2436972,12747,12422,325,210,,0.52,326,,3,9,970,32,332
142紙加工品製造業,,63,1601146,14325,13880,445,387,,0.89,426,225,,10,1243,53,396
150印刷・同関連業,,89,2899971,34698,34197,501,74,40,1.2,52,,,11,4709,132,1860
160化学工業,,773,26387849,1902184,1450564,451620,21557,160902,7.21,56814,6876,15,403,125990,375,14244
161化学肥料・無機化学工業製品製造業,,75,1650197,49723,43657,6066,1606,,3.01,216,,,40,4233,33,642
162有機化学工業製品製造業,,146,10319445,401015,364140,36875,3026,3671,3.89,4746,1253,1,79,38939,74,2207
163油脂加工製品等（注）,,104,2666642,97240,90662,6578,3830,2439,3.65,728,673,,50,12114,50,1803
164医薬品製造業,,188,7564841,1148183,764689,383494,7040,153770,15.18,47723,2278,,104,52715,106,6920
169その他の化学工業製品製造業,,260,4186724,206023,187416,18607,6055,1022,4.92,3401,2672,14,130,17989,112,2672
170石油製品・石炭製品製造業,,32,10700753,25451,24001,1450,,25,0.24,288,,,12,3329,17,506
171石油精製業,,13,10285326,18130,16780,1350,,,0.18,271,,,6,2786,8,435
179その他の石油製品・石炭製品製造業,,19,415427,7321,7221,100,,25,1.76,17,,,6,543,9,71
180プラスチック製品製造業,,356,5541247,133341,129106,4235,986,1434,2.41,2516,679,,70,6674,213,1683
190ゴム製品製造業,,88,2710144,171264,153358,17906,205,1021,6.32,6,,,22,17452,40,808
191タイヤ・チューブ製造業,,7,1989803,151877,135200,16677,,23,7.63,5,,,1,,5,627
199その他のゴム製品製造業,,81,720341,19387,18158,1229,205,998,2.69,1,,,21,,35,181
200なめし革・同製品・毛皮製造業,,9,27847,201,201,,,,0.72,,,,,,,
210窯業・土石製品製造業,,215,3259167,60161,58361,1800,1125,109,1.85,2783,36,2182,52,3139,116,1007
211ガラス・同製品製造業,,42,750919,18637,17453,1184,975,38,2.48,2245,20,2182,9,460,20,253
212セメント・同製品製造業,,53,849207,7801,7541,260,37,,0.92,144,,,5,512,34,291
219その他の窯業・土石製品製造業,,120,1659041,33723,33367,356,113,71,2.03,394,16,,38,2167,62,463
220鉄鋼業,,147,10783708,153433,149378,4055,1843,,1.42,3518,152,6,26,12858,156,2707
221銑鉄・粗鋼・鋼材製造業,,87,10217821,148664,144768,3896,1710,,1.45,3268,132,6,19,12737,90,2388
222鋳鍛造品・その他の鉄鋼製品製造業,,60,565887,4769,4610,159,133,,0.84,250,20,,7,121,66,319
