産業,研究開発_企業数,研究開発_売上高（百万円）,研究開発_研究開発費_計,研究開発_研究開発費_自社研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）,研究開発_研究開発費_委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）,研究開発_売上高研究開発費比率（％）,研究開発_受託研究費（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_国内（百万円）,研究開発_受託研究費（百万円）_うち、関係会社からの受託_海外（百万円）,研究開発投資_企業数,研究開発投資_当期取得額（百万円）,能力開発_企業数,能力開発_能力開発費（百万円）
,8487,335361994,13994455,11724600,2269855,928711,445106,4.17,1093951,135305,50625,1833,667698,9203,207458
,8286,328372935,13960307,11692953,2267354,927755,444943,4.25,1092237,134892,50625,1807,666344,8719,197442
,8,295696,2623,2215,408,3,,0.89,,,,2,,11,
,6161,227094428,11438951,9559555,1879396,883982,306279,5.04,250960,43614,36864,1502,572744,3919,86823
,674,13764452,122833,116290,6543,2262,89,0.89,216,70,,89,10221,418,4822
,100,4311821,26493,25691,802,263,,0.61,2,,,12,534,82,1061
,74,700591,3226,3122,104,1,,0.46,14,,,3,17,36,202
,17,314461,1989,1987,2,,,0.63,,,,4,40,11,97
,483,8437579,91125,85490,5635,1998,89,1.08,200,70,,70,9630,289,3462
,114,6245877,77163,73959,3204,95,,1.24,46,,,33,3370,71,1453
,84,5390810,72713,69597,3116,17,,1.35,46,,,24,3137,56,1275
,30,855067,4450,4362,88,78,,0.52,,,,9,233,15,178
,150,1858841,88378,83432,4946,1191,2798,4.75,2349,727,,26,7487,69,1428
,20,807864,70581,66375,4206,1018,2798,8.74,2205,688,,9,6929,8,1126
,28,315134,7450,7311,139,5,,2.36,54,,,2,,12,97
,31,155675,2509,2484,25,11,,1.61,6,,,5,124,11,30
,32,232328,3258,3063,195,140,,1.4,,,,5,142,17,69
,17,192927,3261,3242,19,17,,1.69,39,39,,3,156,10,64
,22,154913,1319,957,362,,,0.85,45,,,2,,11,42
,29,649744,3044,2867,177,18,,0.47,7,,,4,41,31,
,28,,,,177,18,,,7,,,4,41,30,155
,1,,,,,,,,,,,,,1,
,71,933500,13687,13106,581,8,,1.47,,,,6,596,32,259
,111,3958854,29433,27439,1994,525,1,0.74,1013,456,,21,2312,97,753
,44,2375475,14668,13097,1571,217,,0.62,443,6,,11,843,36,342
,67,1583379,14765,14342,423,308,1,0.93,570,450,,10,1469,61,411
,86,2909015,35509,35188,321,69,,1.22,35,,,10,2247,157,1963
,759,25166012,1874147,1484389,389758,18171,142960,7.45,54453,5743,14926,364,116978,391,14177
,70,1380183,41580,37852,3728,65,,3.01,757,,,38,3227,35,495
,149,9180389,387855,352186,35669,4529,7421,4.22,3635,642,11,78,38820,73,2700
,95,1689441,46162,42033,4129,3122,,2.73,259,220,,41,6366,48,567
,198,7882664,1149925,823207,326718,4550,132063,14.59,46519,2262,14897,99,39701,110,7449
,247,5033335,248625,229111,19514,5905,3476,4.94,3283,2619,18,108,28864,125,2966
,32,7380002,26741,25372,1369,143,25,0.36,336,100,,11,3433,18,482
,11,6951297,18489,17224,1265,143,,0.27,318,100,,4,1496,7,374
,21,428705,8252,8148,104,,25,1.92,18,,,7,1937,11,108
,347,5450888,149097,145623,3474,981,139,2.74,2858,619,150,78,10922,202,1742
,83,2438626,170165,153485,16680,247,649,6.98,55,,,16,17656,34,788
,7,1775600,154066,138270,15796,25,30,8.68,55,,,1,,3,612
,76,663026,16099,15215,884,222,619,2.43,,,,15,,31,176
,10,45040,572,572,,,,1.27,,,,,,2,
,223,3288035,70636,67701,2935,2147,82,2.15,3141,39,2229,54,5632,114,1029
,39,769039,26604,24381,2223,2064,33,3.46,2349,20,2229,11,1460,23,258
,55,805569,7076,6887,189,37,,0.88,161,17,,8,420,36,284
,129,1713427,36956,36433,523,46,49,2.16,631,2,,35,3752,55,487
,150,10337826,157603,153292,4311,3064,72,1.52,3248,802,21,30,11386,163,2761
,91,9729100,152788,148623,4165,2950,72,1.57,3029,802,21,23,11217,91,2426
,59,608726,4815,4669,146,114,,0.79,219,,,7,169,72,335
,180,7324904,128131,122845,5286,883,809,1.75,6146,1774,47,39,9042,121,2647
,40,2591018,30179,29515,664,83,24,1.16,215,,,14,3838,30,585
,140,4733886,97952,93330,4622,800,785,2.07,5931,1774,47,25,5204,91,2062
,436,6046291,78939,75833,3106,2091,418,1.31,1460,922,,61,4342,308,2132
,126,2969047,31394,30931,463,88,,1.06,314,68,,17,1393,83,723
,310,3077244,47545,44902,2643,2003,418,1.55,1146,854,,44,2949,225,1409
,285,4984195,132986,125419,7567,681,578,2.67,760,200,,60,6136,206,2086
,18,1008203,34416,31204,3212,,,3.41,388,,,7,2240,15,94
,75,1238338,31383,29272,2111,221,,2.53,9,,,15,383,50,525
,96,1356873,30621,29001,1620,77,439,2.26,51,,,24,781,73,885
,96,1380781,36566,35942,624,383,139,2.65,312,200,,14,2732,68,582
,549,10317439,514923,488855,26068,8733,8486,4.99,4414,498,,116,51324,307,5032
,148,1901783,64737,60571,4166,118,1349,3.4,124,,,30,2280,74,726
,401,8415656,450186,428284,21902,8615,7137,5.35,4290,498,,86,49044,233,4306
,290,10298978,1090114,1025926,64188,18808,10839,10.58,3981,542,1352,89,56623,134,3016
,68,5392356,685088,653298,31790,6102,2351,12.7,1426,542,568,23,42819,34,952
,116,1668802,99208,87206,12002,5295,340,5.94,1576,,784,27,892,55,1211
,74,2109002,149543,130187,19356,7411,8148,7.09,854,,,30,9029,32,683
,28,1086838,154911,153871,1040,,,14.25,125,,,7,,10,162
,4,41980,1364,1364,,,,3.25,,,,2,,3,8
,290,15153083,979492,955977,23515,2236,3577,6.46,20361,12278,,90,65500,195,5859
,449,15229225,928642,869802,58840,3660,11830,6.1,18556,10688,,95,21931,253,7937
,206,6302287,343477,326856,16621,543,4645,5.45,10293,8101,,36,3469,144,5978
,60,5683262,346802,339648,7154,2557,,6.1,4605,,,11,11558,27,410
,37,614774,66837,52428,14409,19,6984,10.87,227,,,6,440,14,249
,146,2628902,171526,150870,20656,541,201,6.52,3431,2587,,42,6464,68,1300
,138,7586243,456089,429715,26374,4194,9068,6.01,38969,238,17024,35,13591,80,8288
,106,3722187,196842,182695,14147,3894,1611,5.29,2498,137,21,22,2482,54,955
,32,3864056,259247,247020,12227,300,7457,6.71,36471,101,17003,13,11109,26,7333
,535,63373519,4179875,2997389,1182486,807023,98548,6.6,88039,7918,1110,140,148749,415,16794
,410,56512919,4024202,2849263,1174939,806045,98548,7.12,37309,7850,1110,116,143529,318,14328
,125,6860600,155673,148126,7547,978,,2.27,50730,68,,24,5220,97,2466
,170,2353839,130752,85079,45673,6752,15311,5.55,517,,5,35,3225,101,1169
,39,19791218,103160,50544,52616,3757,,0.52,7846,250,,15,4062,85,14934
,23,16573667,83666,33240,50426,3757,,0.5,7664,250,,9,1892,34,11998
,16,3217551,19494,17304,2190,,,0.61,182,,,6,2170,51,2936
,572,14491105,443793,396894,46899,7279,12100,3.06,56349,27562,7362,39,12679,1127,29287
,416,10382686,408572,365160,43412,6341,12006,3.94,56107,27562,7362,29,12136,717,19981
,87,2288413,20650,18013,2637,689,,0.9,104,,,5,490,272,7038
,46,1479508,12254,11445,809,248,94,0.83,,,,3,,77,1218
,10,84658,329,307,22,,,0.39,,,,1,,18,174
,4,174093,1027,1013,14,1,,0.59,,,,1,,15,620
,9,81747,961,956,5,,,1.18,138,,,,,28,256
,1015,55847037,1118219,860059,258160,28849,119839,2,19870,2754,6364,181,38621,1538,30617
,17,392243,580,373,207,15,7,0.15,,,,,,16,91
,61,709416,3675,2989,686,504,,0.52,,,,4,18,53,4111
,36,2159449,3948,3819,129,7,,0.18,20,12,,6,306,75,767
,88,3482333,24768,22907,1861,173,,0.71,185,23,,18,889,145,2370
,53,1776619,24640,24427,213,109,,1.39,112,18,,9,2774,84,438
,88,2317450,11150,9660,1490,631,53,0.48,112,109,,19,415,106,900
,21,16465952,17769,14426,3343,15,40,0.11,1224,,856,3,124,68,2672
,28,580854,752,691,61,39,,0.13,2,,,1,,68,1780
,20,5143095,9207,8711,496,75,7,0.18,225,136,,7,756,22,571
,3,40624,60,37,23,16,,0.15,3,3,,,,13,55
,93,2836168,181909,177168,4741,966,3,6.41,2534,1,,21,13195,145,5970
