産業__産業分類名称_総合計,__時間軸コード_2015100000,列見出し4_列見出し5_単位（列）_年度_2015年度,_社_8527,_百万円_356508776,_百万円_14504871,_百万円_12079769,_百万円_2425102,うち、関係会社への委託_国内_百万円_961675,うち、関係会社への委託_海外_百万円_462589,_％_4.07,_百万円_1156934,国内_百万円_89187,海外_百万円_16646,_社_1924,_百万円_644839,_社_8971,_百万円_212407
合計,2019100000,2019年度,8246,361803716,14984524,12160361,2824163,465555,590544,4.14,1160942,122352,106903,1657,628982,8818,210029
鉱業、採石業、砂利採取業,2019100000,2019年度,7,34997,377,291,86,4,***,1.08,***,***,***,***,***,8,50
製造業,2019100000,2019年度,6086,234557073,11922450,9710624,2211826,428549,383829,5.08,289832,67980,43578,1410,545763,4030,89338
食料品製造業,2019100000,2019年度,690,14479104,137901,128973,8928,1535,110,0.95,908,51,***,88,12225,443,5175
畜産食料品製造業,2019100000,2019年度,98,4560613,29043,27389,1654,139,***,0.64,31,***,***,12,3208,91,972
水産食料品製造業,2019100000,2019年度,73,636739,3448,3398,50,1,***,0.54,14,***,***,5,39,37,241
精穀・製粉業,2019100000,2019年度,18,323726,2145,2133,12,***,***,0.66,3,***,***,4,146,12,96
その他の食料品製造業,2019100000,2019年度,501,8958026,103265,96053,7212,1395,110,1.15,860,51,***,67,8832,303,3866
飲料・たばこ・飼料製造業,2019100000,2019年度,120,5487575,95923,92895,3028,40,***,1.75,9,***,***,33,19600,73,1199
清涼飲料・酒類・茶・たばこ製造業,2019100000,2019年度,89,4423311,90568,87685,2883,34,***,2.05,8,***,***,23,19219,54,989
飼料・有機質肥料製造業,2019100000,2019年度,31,1064264,5355,5210,145,6,***,0.5,1,***,***,10,381,19,210
繊維工業,2019100000,2019年度,152,1801322,105460,99650,5810,827,4252,5.85,698,91,223,24,16955,77,1713
製糸，紡績，ねん糸等製造業,2019100000,2019年度,23,821425,87574,82409,5165,656,4213,10.66,437,36,223,7,15893,10,1290
織物・ニット生地製造業,2019100000,2019年度,23,195941,5545,5271,274,11,***,2.83,34,***,***,5,218,11,111
染色整理業,2019100000,2019年度,32,151552,3225,3102,123,16,***,2.13,165,***,***,6,636,13,40
その他の繊維工業,2019100000,2019年度,35,264618,4677,4504,173,121,***,1.77,56,55,***,4,,17,99
織物・ニット製衣服製造業,2019100000,2019年度,16,201855,3216,3189,27,15,***,1.59,***,***,***,1,,15,121
身の回り品・その他の繊維製品製造業,2019100000,2019年度,23,165931,1223,1175,48,8,39,0.74,6,***,***,1,,11,52
木材・木製品製造業（家具を除く）,2019100000,2019年度,37,881350,3979,3918,61,13,***,0.45,13,3,***,3,22,30,212
製材・合板製造業,2019100000,2019年度,35,,,,,13,***,,13,3,***,3,22,28,
